,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.4966887417218543,0.41818181818181815,0.34328358208955223,0.3770491803278688
Random Forest,0.47019867549668876,0.3968253968253968,0.373134328358209,0.38461538461538464
